OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
2966,Backbone,Sharrowed Route,ADAMS BL,CHESTER PL (PVT)/ESTRELLA AV,ST JAMES PL,,2010/07/07 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2967,Backbone,Sharrowed Route,ADAMS BL,SCARFF ST,PORTLAND ST,,2010/07/07 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2968,Neighborhood,Sharrowed Route,WESTHOLME AV,WILKINS AV,KINNARD AV,,2010/07/20 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2969,Neighborhood,Sharrowed Route,WESTHOLME AV,WELLWORTH AV,ROCHESTER AV,,2010/07/20 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2970,Neighborhood,Route,WOODLEY AV,ROSCOE BL,RAYMER ST,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
2971,Neighborhood,Route,WOODLEY AV,BLYTHE ST,ARMINTA ST,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
2972,Neighborhood,Route,WOODLEY AV,RAYMER ST,STRATHERN ST,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
2973,Backbone,Lane,WOODMAN AV,COLLINS ST,BURBANK BL,,2009/06/30 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2974, ,Lane,VIA DOLCE,WASHINGTON BL,MARQUESAS WY,,2011/07/22 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2975,Backbone,Lane,JEFFERSON BL,CLOVERDALE AV,COCHRAN AV,,2011/08/23 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2976,Backbone,Lane,7TH ST,CARONDELET ST,CORONADO ST,,2011/08/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2977,Backbone,Lane,DEVONSHIRE ST,COLUMBUS AV,SEPULVEDA BL,,2012/02/26 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2978,Backbone,Lane,DEVONSHIRE ST,COLUMBUS AV,SEPULVEDA BL,,2012/02/26 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2979,Backbone,Lane,EAGLE ROCK BL,FLETCHER DR,VERDUGO RD,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2980,Neighborhood,Lane,RAMPART BL,2ND ST,3RD ST,,2012/03/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2981,Neighborhood,Lane,RAMPART BL,BEVERLY BL,2ND ST,,2012/03/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2982,Neighborhood,Lane,RAMPART BL,4TH ST,6TH ST,,2012/03/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2983,Neighborhood,Route,RAMPART BL,COUNCIL ST,BEVERLY BL,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2984,Neighborhood,Lane,VINELAND AV,CUMPSTON ST,CHANDLER BL,,2012/03/11 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2985,Backbone,Lane,DEVONSHIRE ST,AMESTOY AV,LOUISE AV,,2012/03/31 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2986,Backbone,Lane,DEVONSHIRE ST,ETIWANDA AV,RESEDA BL,,2012/03/31 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2987,Backbone,Lane,DEVONSHIRE ST,PETIT AV,BALBOA BL,,2012/03/31 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2988,Backbone,Lane,DEVONSHIRE ST,ETIWANDA AV,RESEDA BL,,2012/03/31 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2989,Backbone,Lane,DEVONSHIRE ST,WHITE OAK AV,ZELZAH AV,,2012/03/31 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2990,Backbone,Lane,DEVONSHIRE ST,ZELZAH AV,LINDLEY AV,,2012/03/31 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2991,Backbone,Lane,DEVONSHIRE ST,LINDLEY AV,ETIWANDA AV,,2012/03/31 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2992, ,Bicycle Friendly Street,YUCCA ST,HUDSON AV,WHITLEY AV,,2012/09/07 00:00:00+00,North Central,Bicycle Friendly Street,2023/10/17 00:00:00+00
2993,Backbone,Lane,WOODMAN AV,CHATSWORTH ST,SAN JOSE ST,,2012/09/23 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2994, ,Protected Bike Lane,OLIVE ST,7TH ST,8TH ST,,2020/06/22 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
2995, ,Route,ODIN ST,CAHUENGA BL,HOLLYWOOD FY,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2996,Backbone,Lane,SOUTH VENICE BL,OCEAN AV,EASTERN CT,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2997,Backbone,Lane,SOUTH VENICE BL,STRONG'S DR,PACIFIC AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2998, ,Lane,OPP ST,BROAD AV,AVALON PL,,2012/12/12 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2999, ,Lane,DEGNAN BL,STOCKER ST,43RD ST,,2012/12/16 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3000, ,Lane,SAN PASCUAL AV,FERRARA ST,ELGIN ST,,2012/12/16 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3001, ,Lane,AVENUE 66,RUBY ST,CRESCENT ST,,2012/12/16 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3002, ,Lane,NEPTUNE AV,G ST,F ST,,2022/06/24 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3003, ,Lane,WILMINGTON BL,E ST,D ST,,2012/12/20 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3004, ,Lane,WILMINGTON BL,ANAHEIM ST,G ST,,2012/12/20 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3005, ,Lane,FOOTHILL BL,SALUDA AV,PALI AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3006, ,Lane,FOOTHILL BL,CL @ LOWELL AV,SALUDA AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3007, ,Lane,FOOTHILL BL,CL @ LOWELL AV,SALUDA AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3008, ,Lane,FOOTHILL BL,TUJUNGA CANYON PL,MARNICE AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3009, ,Lane,FOOTHILL BL,LEOLANG AV,WOODWARD AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3010, ,Lane,FOOTHILL BL,WHITEGATE AV,LEOLANG AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3011, ,Lane,FOOTHILL BL,MCVINE AV,SCOVILLE AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3012, ,Lane,FOOTHILL BL,WOODWARD AV,RHODESIA AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3013, ,Lane,FOOTHILL BL,NASSAU AV,MCVINE AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3014, ,Buffer Bike Lane,VENTURA BL,PONCE AV,FALLBROOK AV,,2023/08/23 00:00:00+00,West Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
3015, ,Buffer Bike Lane,VAN NUYS BL,DE FOE AV,HERRICK AV,,2020/01/30 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
3016, ,Buffer Bike Lane,VAN NUYS BL,GLENOAKS BL,DE HAVEN AV,,2020/01/30 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
3017, ,Sharrowed Route,NEW HAMPSHIRE AV,4TH ST,5TH ST,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3018,Neighborhood,Sharrowed Route,ASTORIA ST,NORRIS AV,BRADLEY AV,,2011/10/02 00:00:00+00,East Valley,Sharrowed Route,2023/10/17 00:00:00+00
3019,Neighborhood,Sharrowed Route,ASTORIA ST,PHILLIPPI AV,BORDEN AV,,2011/10/02 00:00:00+00,East Valley,Sharrowed Route,2023/10/17 00:00:00+00
3020,Backbone,Lane,SHERMAN WY,REMMET AV,OWENSMOUTH AV,,2013/01/18 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
3021,Backbone,Lane,MISSION RD,RICHMOND ST,GALLARDO ST,,2013/01/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3022,Backbone,Lane,MISSION RD,RICHMOND ST,RICHMOND ST,,2013/01/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3023,Backbone,Lane,MISSION RD,WORKMAN ST,MARENGO ST/DALY ST,,2013/01/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3024, ,Lane,DARWIN AV,THOMAS ST,GATES ST,,2013/02/13 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3025, ,Lane,VIA MARISOL,AVENUE 57,ARROYO DR,,2013/02/13 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3026, ,Lane,FIGUEROA ST,300' S/O 172ND ST (PVT),WALNUT ST,,2013/02/23 00:00:00+00,Central/South,Lane,2023/10/17 00:00:00+00
3027, ,Lane,FIGUEROA ST,172ND ST (PVT),300' S/O 172ND ST (PVT),,2013/02/23 00:00:00+00,Central/South,Lane,2023/10/17 00:00:00+00
3028, ,Lane,ROWENA AV,AUBURN ST,WEST SILVER LAKE DR,,2013/03/11 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3029, ,Lane,ROWENA AV,AVENEL ST,HYPERION AV,,2013/03/11 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3030, ,Lane,GAFFEY ST,CHANNEL ST,MIRAFLORES AV,,2013/03/13 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3031, ,Sharrowed Route,OAKWOOD AV,VENEZIA AV,VENICE BL,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
3032, ,Sharrowed Route,OAKWOOD AV,SUPERBA AV,VENEZIA AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
3033, ,Sharrowed Route,KINROSS AV,GLENDON AV,WESTWOOD BL/BROXTON AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
3034, ,Sharrowed Route,OHIO AV,WESTHOLME AV,MANNING AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
3035, ,Sharrowed Route,OHIO AV,MANNING AV,SELBY AV/WILKINS AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
3036, ,Sharrowed Route,FRANKLIN AV,HARVARD BL,HOBART BL,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3037, ,Sharrowed Route,FRANKLIN AV,HOBART BL,SERRANO AV,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3038, ,Sharrowed Route,FRANKLIN AV,VERMONT AV,NEW HAMPSHIRE AV,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3039, ,Sharrowed Route,FRANKLIN AV,DRACENA DR,VERMONT AV,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3040, ,Sharrowed Route,FRANKLIN AV,BRONSON AV,TAMARIND AV,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3041, ,Sharrowed Route,FRANKLIN AV,TAMARIND AV,CHEREMOYA AV,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3042, ,Sharrowed Route,FRANKLIN AV,CHEREMOYA AV,BEACHWOOD DR,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3043, ,Sharrowed Route,SAINT GEORGE ST,TRACY ST,LYRIC AV,,2013/03/27 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3044, ,Sharrowed Route,SAINT GEORGE ST,RONDA VISTA DR,FRANKLIN AV,,2013/03/27 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3045, ,Sharrowed Route,SELMA AV,GOWER ST,EL CENTRO AV,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3046, ,Sharrowed Route,SELMA AV,CHEROKEE AV,LAS PALMAS AV,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3047, ,Sharrowed Route,SELMA AV,CAHUENGA BL,WILCOX AV,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3048, ,Sharrowed Route,WILCOX AV,FRANKLIN AV,YUCCA ST,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3049, ,Sharrowed Route,WILLOUGHBY AV,POINSETTIA PL,FULLER AV,,2013/04/21 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
3050, ,Sharrowed Route,WILLOUGHBY AV,CHEROKEE AV,LAS PALMAS AV,,2013/04/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3051, ,Sharrowed Route,WILLOUGHBY AV,COLE AV,WILCOX AV,,2013/04/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3052, ,Sharrowed Route,ORANGE DR,SUNSET BL,DE LONGPRE AV,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3053, ,Sharrowed Route,ORANGE DR,LANEWOOD AV,SUNSET BL,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3054, ,Sharrowed Route,ORANGE DR,ROMAINE ST,WILLOUGHBY AV,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3055, ,Sharrowed Route,WILLOW BROOK AV,HELIOTROPE DR,EDGEMONT ST,,2013/04/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3056, ,Sharrowed Route,ARGYLE AV,YUCCA ST,HOLLYWOOD BL,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3057, ,Sharrowed Route,ARGYLE AV,ARGYLE AV,YUCCA ST,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3058, ,Lane,1ST ST,ALAMEDA ST,CENTRAL AV,,2022/11/22 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3059, ,Lane,1ST ST,MISSION RD,VIGNES ST,,2022/11/20 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3060, ,Protected Bike Lane,1ST ST,VIGNES ST,GAREY ST,,2022/11/20 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
3061, ,Sharrowed Route,2ND ST,SAN PEDRO ST,LOS ANGELES ST,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3062, ,Sharrowed Route,2ND ST,SANTA FE AV,VIGNES ST,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3063, ,Lane,CRESCENT HEIGHTS BL,AIRDROME ST,18TH ST,,2013/03/24 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
3064, ,Lane,CRESCENT HEIGHTS BL,18TH ST,SAWYER ST,,2013/03/24 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
3065, ,Lane,WOODMAN AV,LASSEN ST/FILLMORE ST,VESPER AV,,2013/04/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3066, ,Buffer Bike Lane,WOODMAN AV,TERRA BELLA ST,KAGEL CANYON ST,,2021/02/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
3067, ,Buffer Bike Lane,WOODMAN AV,SYLMAR AV,PIERCE ST,,2021/02/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
3068, ,Buffer Bike Lane,WOODMAN AV,NORDHOFF ST,OSBORNE ST,,2020/01/31 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
3069, ,Lane,SAN PEDRO ST,41ST PL,42ND ST,,2013/04/04 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3070, ,Lane,SAN PEDRO ST,40TH PL,41ST ST,,2013/04/04 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3071, ,Lane,SAN PEDRO ST,42ND ST,42ND PL,,2013/04/04 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3072, ,Lane,GRIFFIN AV,NORTH MAIN ST,630' S/O NORTH MAIN ST,,2013/04/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3073, ,Lane,GRIFFIN AV,ALTURA ST,NORTH BROADWAY,,2013/04/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3074, ,Route,BROADWAY,61ST ST,62ND ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3075, ,Route,BROADWAY,80TH ST,81ST ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3076, ,Protected Bike Lane,BROADWAY,91ST PL,92ND ST,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
3077, ,Route,BROADWAY,73RD ST,74TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3078, ,Route,BROADWAY,54TH ST,55TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3079, ,Protected Bike Lane,BROADWAY,MANCHESTER AV,86TH PL,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
3080, ,Protected Bike Lane,BROADWAY,90TH ST,90TH ST,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
3081, ,Route,BROADWAY,49TH ST,50TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3082, ,Route,BROADWAY,45TH ST,46TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3083, ,Route,BROADWAY,47TH PL,48TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3084, ,Protected Bike Lane,BROADWAY,88TH PL,88TH PL,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
3085, ,Route,WOODMAN AV,STRATHERN ST,STAGG ST,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
3086, ,Route,WOODMAN AV,RANCHITO AV,PEACHTREE AV,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
3087, ,Route,WOODMAN AV,ROSCOE BL,CANTARA ST,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
3088, ,Lane,COLFAX AV,ALBERS ST,CHANDLER BL,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3089, ,Lane,GRAND AV,6TH ST,7TH ST,,2013/05/05 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3090, ,Lane,GRAND AV,OLIVER ST,O'FARRELL ST,,2013/05/05 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3091, ,Lane,GRAND AV,20TH ST,21ST ST,,2013/05/05 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3092, ,Lane,GRAND AV,O'FARRELL ST,SEPULVEDA ST,,2013/05/05 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3093, ,Lane,GRAND AV,4TH ST,5TH ST,,2013/05/05 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3094, ,Lane,CORBIN AV,D/E N/O,HIAWATHA ST,,2013/05/07 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
3095, ,Lane,19TH ST,CABRILLO AV,MEYLER ST,,2013/05/12 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3096, ,Lane,LOMITA BL,FRAMPTON AV,FRAMPTON AV,,2013/05/12 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3097, ,Lane,MECCA AV,RESEDA BL,LINNET ST,,2006/07/13 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
3098, ,Lane,CLOVIS AV,COLDEN AV,97TH ST,,2013/05/20 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3099, ,Lane,CLOVIS AV,94TH ST,95TH ST,,2013/05/20 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3100, ,Lane,BRONSON AV,LA MIRADA AV,LEXINGTON AV,,2013/05/20 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3101, ,Lane,AVALON BL,DENNI ST,OPP ST,,2013/05/20 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3102, ,Lane,WASHINGTON BL,LINCOLN BL,CARTER AV,,2013/06/02 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
3103, ,Lane,WASHINGTON BL,LINCOLN BL,CARTER AV,,2013/06/02 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
3104, ,Lane,WASHINGTON BL,YALE AV,THATCHER AV,,2013/06/02 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
3105, ,Lane,WASHINGTON BL,OXFORD AV,MILDRED AV,,2013/06/02 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
3106, ,Lane,WASHINGTON BL,CARTER AV,STANFORD AV,,2013/06/02 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
3107, ,Lane,SAN PEDRO ST,88TH PL,89TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3108, ,Lane,SAN PEDRO ST,75TH ST,76TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3109, ,Lane,SAN PEDRO ST,88TH ST,88TH PL,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3110, ,Lane,SAN PEDRO ST,79TH ST,79TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3111, ,Lane,SAN PEDRO ST,112TH ST,113TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3112, ,Lane,SAN PEDRO ST,COLDEN AV,97TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3113, ,Lane,SAN PEDRO ST,79TH ST,80TH ST,,2013/06/09 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3114, ,Lane,GRIFFIN AV,AVENUE 26,ALTURA ST,,2013/06/10 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3115, ,Sharrowed Route,GRIFFIN AV,AVENUE 43,AVENUE 41,,2005/01/01 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3116, ,Sharrowed Route,GRIFFIN AV,AVENUE 39,AVENUE 35,,2005/01/01 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
3117, ,Lane,3RD ST,SANTA FE AV,GAREY ST,,2013/06/10 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3118, ,Lane,CLYBOURN AV,ARMINTA ST,ELKWOOD ST,,2013/06/10 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
3119, ,Lane,E ST,NEPTUNE AV,BAY VIEW AV,,2013/06/17 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
3120, ,Lane,DUMETZ RD,VILLENA AV/CAMPO RD,YBARRA RD,,2013/06/17 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
3121, ,Lane,DUMETZ RD,NOFRAL RD,ALHAMA DR,,2013/06/17 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
3122, ,Lane,GLENDALE BL,PERLITA AV,ATWATER AV,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3123,Backbone,Protected Bike Lane,MAIN ST,8TH ST,9TH ST,,2019/11/22 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
3124,Backbone,Protected Bike Lane,MAIN ST,7TH ST,8TH ST,,2019/11/22 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
3125, ,Protected Bike Lane,GRAND AV,WILSHIRE BL,7TH ST,,2020/08/20 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
3126, ,Protected Bike Lane,3RD ST,4TH PL/ALAMEDA ST,CENTRAL AV,,2022/09/26 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
3127, ,Protected Bike Lane,7TH ST,MAIN ST,HARLEM PL,,2020/06/22 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
3128,Backbone,Lane,RESEDA BL,KITTRIDGE ST,VICTORY BL,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
3129,Backbone,Lane,RESEDA BL,ERWIN ST,CALVERT ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
3130, ,Sharrowed Route,OAKWOOD AV,MILWOOD AV,PALMS BL,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
3131, ,Lane,SAN PEDRO ST,43RD ST,43RD PL,,2013/04/04 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3132, ,Lane,SAN PEDRO ST,41ST ST,41ST PL,,2013/04/04 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
3133, ,Lane,GRIFFIN AV,BALDWIN ST,MOZART ST,,2013/04/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3134, ,Lane,GRIFFIN AV,NORTH BROADWAY,MANITOU AV,,2013/04/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3135, ,Route,BROADWAY,42ND ST,42ND PL,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3136, ,Route,BROADWAY,41ST PL,42ND ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3137, ,Route,BROADWAY,42ND PL,43RD ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3138, ,Route,BROADWAY,53RD ST,54TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3139, ,Route,BROADWAY,59TH PL,60TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
3140, ,Route,BROADWAY,76TH ST,77TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
